,alpha,tol,r2,RMSE,MSE,cv,time
0,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.9240353799996228
1,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.8873716019988933
2,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.8829265250005847
3,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.8845416999993176
4,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.8814343540016125
5,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.8883963609987404
6,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.8795773890014971
7,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.8846246729990526
8,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.8933289220003644
9,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.8833162110004196
10,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.9023696720014414
11,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.8860901389998617
12,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.8880871569999726
13,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.9059316689999832
14,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.9032257589988149
15,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.9834310989990627
16,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.9245042169986846
17,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.9119620070014207
18,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.9112815200005571
19,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.912863092000407
20,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.9134410629994818
21,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.8953011070007051
22,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.8946877769994899
23,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.8910804389997793
24,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.8848740789999283
25,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.892440464000174
26,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.9030436860011832
27,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.8947749639992253
28,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.8994667449987901
29,0.25,1e-05,0.0,0.12740277448578743,0.016231466946676407,10.0,0.8971168070002022
