,C,epsilon,gamma,r2,RMSE,MSE,cv,time
0,16.0,0.9,1.0,0.9474011808373731,2.1072183009947913,4.440368968047376,10.0,81.81990005300031
1,16.0,0.9,1.0,0.9474011808373731,2.1072183009947913,4.440368968047376,10.0,83.52017715700094
2,16.0,0.9,1.0,0.9474011808373731,2.1072183009947913,4.440368968047376,10.0,83.59794077299921
3,16.0,0.9,1.0,0.9474011808373731,2.1072183009947913,4.440368968047376,10.0,84.27246471400031
4,16.0,0.9,1.0,0.9474011808373731,2.1072183009947913,4.440368968047376,10.0,86.26742730200021
5,16.0,0.9,1.0,0.9474011808373731,2.1072183009947913,4.440368968047376,10.0,86.70957373099918
6,16.0,0.8,0.5,0.9220020517977265,2.5660382242530053,6.584552168327518,10.0,86.56096399200032
7,16.0,0.9,0.5,0.9220484423962851,2.5652750134415188,6.580635894587385,10.0,83.48994727799982
8,16.0,0.8,0.5,0.9220020517977265,2.5660382242530053,6.584552168327518,10.0,84.21288688399909
9,16.0,0.9,0.5,0.9220484423962851,2.5652750134415188,6.580635894587385,10.0,84.5820338170015
10,16.0,0.9,1.0,0.9474011808373731,2.1072183009947913,4.440368968047376,10.0,84.09530890600035
11,16.0,0.9,1.0,0.9474011808373731,2.1072183009947913,4.440368968047376,10.0,85.76892999300071
12,16.0,0.1,0.5,0.921646835521375,2.5718746798233685,6.614539368716555,10.0,89.29096088700135
13,16.0,0.9,1.0,0.9474011808373731,2.1072183009947913,4.440368968047376,10.0,86.8402245870002
14,16.0,0.9,0.5,0.9220484423962851,2.5652750134415188,6.580635894587385,10.0,87.49362252199899
15,16.0,0.9,1.0,0.9474011808373731,2.1072183009947913,4.440368968047376,10.0,87.95715987199947
16,16.0,0.9,1.0,0.9474011808373731,2.1072183009947913,4.440368968047376,10.0,88.06817535199843
17,16.0,0.1,0.5,0.921646835521375,2.5718746798233685,6.614539368716555,10.0,87.74227714900007
18,16.0,0.9,1.0,0.9474011808373731,2.1072183009947913,4.440368968047376,10.0,88.23263739899994
19,16.0,0.9,0.5,0.9220484423962851,2.5652750134415188,6.580635894587385,10.0,86.58787428300093
20,16.0,0.9,1.0,0.9474011808373731,2.1072183009947913,4.440368968047376,10.0,85.1908358419987
21,16.0,0.9,1.0,0.9474011808373731,2.1072183009947913,4.440368968047376,10.0,86.19841010199889
22,16.0,0.9,1.0,0.9474011808373731,2.1072183009947913,4.440368968047376,10.0,87.37790473200039
23,16.0,0.1,0.25,0.8854123024080677,3.1102158400451643,9.673442571667847,10.0,84.52709398900151
24,16.0,0.1,0.5,0.921646835521375,2.5718746798233685,6.614539368716555,10.0,85.39301713500026
25,16.0,0.8,1.0,0.9476046426944659,2.1031387991230868,4.423192808376899,10.0,85.18277750000016
26,16.0,0.9,1.0,0.9474011808373731,2.1072183009947913,4.440368968047376,10.0,85.06641466699875
27,16.0,0.1,0.5,0.921646835521375,2.5718746798233685,6.614539368716555,10.0,87.37097120500039
28,16.0,0.5,1.0,0.9471505897580432,2.112231937013806,4.461523755741096,10.0,87.3752847880005
29,16.0,0.9,0.5,0.9220484423962851,2.5652750134415188,6.580635894587385,10.0,87.33775877199878
