att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9,att_10,att_11,att_12,att_13,att_14,att_15,att_16,att_17,att_18,att_19,att_20,att_21,att_22,att_23,att_24,att_25,att_26,att_27,class
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2,-0.6,-1,1,1,1,-1,0,-0.2,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.568
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.6,0.2,-0.75,-1,-1,-1,0,1,-0.2,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.589
0,-0.6,-1,1,1,1,-1,-0.3325,-0.2,-0.2,-0.2,-1,-1,0,0,-1,0,-0.6,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.621
-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.2,0.6,-0.5,-1,0,0,-1,0,-0.6,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.628
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.634
-1,-0.6,-1,-1,-1,-1,-1,-0.3325,-1,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-0.3325,-1,-1,-1,-1,0,-0.3325,-1,0.649
-0.5,0.2,-0.25,-1,1,0,-1,-0.3325,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,0.3325,1,1,-1,1,0,0,-0.3325,-0.3325,0.661
-0.5,1,1,-1,0,0,-1,-0.3325,-0.6,-0.2,-0.2,-1,-1,0,0,-1,0,-0.6,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.665
-0.5,-0.2,-1,-1,0,0,-1,-0.3325,-0.6,-0.2,1,1,-1,0,0,-1,0,-0.6,0.3325,0.3325,-1,-1,0,0,0,-0.3325,-0.3325,0.671
-0.5,0.6,-0.25,-1,0,0,-1,-0.3325,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0.7
-0.5,-0.2,-1,-1,0,0,-1,-0.3325,-0.6,-0.2,0.6,-0.5,-1,0,0,-1,0,-0.6,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.716
-0.5,-0.2,-1,-1,0,0,-1,-0.3325,-0.6,0.2,-0.6,-1,1,1,1,-1,0,-0.2,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.717
