,C,epsilon,gamma,r2,RMSE,MSE,cv,time
0,16.0,0.4,1.0,0.9293191545818478,2.0723806896960153,4.294761723024932,10.0,50.66557131300033
1,16.0,0.5,0.5,0.9196552879375584,2.2095168531317673,4.881964724273308,10.0,52.04339243600043
2,16.0,0.9,1.0,0.9309087766866846,2.0489441014450858,4.198171930846609,10.0,52.98266770800001
3,16.0,0.7,1.0,0.9303094788359401,2.0578111938174604,4.234586909400442,10.0,53.288147477000166
4,16.0,0.4,1.0,0.9293191545818478,2.0723806896960153,4.294761723024932,10.0,53.208126665000236
5,16.0,0.9,1.0,0.9309087766866846,2.0489441014450858,4.198171930846609,10.0,51.601356409999426
6,16.0,0.5,0.5,0.9196552879375584,2.2095168531317673,4.881964724273308,10.0,52.34856734099958
7,16.0,0.5,0.5,0.9196552879375584,2.2095168531317673,4.881964724273308,10.0,52.36495486499916
8,16.0,0.2,1.0,0.9287562474806595,2.080616615328676,4.328965499981757,10.0,51.85124439500032
9,16.0,0.9,0.25,0.9065889600482737,2.3824169635501353,5.675910588211446,10.0,51.93596240499937
10,16.0,0.3,1.0,0.9290014574734564,2.0770329485412597,4.314065869325999,10.0,53.36365161100002
11,16.0,0.4,0.5,0.9194770195363275,2.2119667268089334,4.892796800509827,10.0,53.07970288300021
12,16.0,0.4,0.5,0.9194770195363275,2.2119667268089334,4.892796800509827,10.0,53.03897312299887
13,16.0,0.4,0.5,0.9194770195363275,2.2119667268089334,4.892796800509827,10.0,53.45230897299916
14,16.0,0.4,0.5,0.9194770195363275,2.2119667268089334,4.892796800509827,10.0,53.12394092499926
15,16.0,0.9,1.0,0.9309087766866846,2.0489441014450858,4.198171930846609,10.0,53.264531071999954
16,16.0,0.3,1.0,0.9290014574734564,2.0770329485412597,4.314065869325999,10.0,57.44222112399984
17,16.0,0.4,1.0,0.9293191545818478,2.0723806896960153,4.294761723024932,10.0,56.32399716399959
18,16.0,0.1,1.0,0.9286665638364323,2.0819257728839626,4.3344149237984855,10.0,53.595586172001276
19,16.0,0.8,1.0,0.9307439138823884,2.051387200482377,4.2081894463029235,10.0,54.02644285699898
20,16.0,0.4,0.5,0.9194770195363275,2.2119667268089334,4.892796800509827,10.0,54.249364244999015
21,16.0,0.9,1.0,0.9309087766866846,2.0489441014450858,4.198171930846609,10.0,54.38825013299902
22,16.0,0.5,0.5,0.9196552879375584,2.2095168531317673,4.881964724273308,10.0,54.14705161500024
23,16.0,0.7,1.0,0.9303094788359401,2.0578111938174604,4.234586909400442,10.0,54.00530909900044
24,16.0,0.8,1.0,0.9307439138823884,2.051387200482377,4.2081894463029235,10.0,53.878574031001335
25,8.0,0.4,1.0,0.9234639659071862,2.1565108441632757,4.650539020993804,10.0,54.15766756300036
26,16.0,0.5,0.5,0.9196552879375584,2.2095168531317673,4.881964724273308,10.0,54.49270058900038
27,16.0,0.3,0.5,0.9192543951049551,2.2150223634546404,4.906324070604181,10.0,51.523166530998424
28,16.0,0.7,0.5,0.9203747230839333,2.1996022082749236,4.83824987464792,10.0,52.45435649200044
29,16.0,0.5,0.5,0.9196552879375584,2.2095168531317673,4.881964724273308,10.0,53.21125216299879
