,C,epsilon,gamma,r2,RMSE,MSE,cv,time
0,0.25,0.1,0.0625,0.6716300970060208,0.07300633689434165,0.005329925226730111,10.0,5.748859919000097
1,0.5,0.1,0.0625,0.7606968492673696,0.062323680742974515,0.003884241181352212,10.0,5.6228919260011025
2,0.5,0.1,0.0625,0.7606968492673696,0.062323680742974515,0.003884241181352212,10.0,5.626424265001333
3,1.0,0.1,0.0625,0.7621509600403789,0.06213403922491524,0.0038606388304033056,10.0,5.674625064000793
4,0.25,0.1,0.0625,0.6716300970060208,0.07300633689434165,0.005329925226730111,10.0,5.604420767998818
5,0.25,0.1,0.0625,0.6716300970060208,0.07300633689434165,0.005329925226730111,10.0,5.600563567999416
6,0.25,0.1,0.0625,0.6716300970060208,0.07300633689434165,0.005329925226730111,10.0,5.642781947000913
7,1.0,0.1,0.0625,0.7621509600403789,0.06213403922491524,0.0038606388304033056,10.0,5.623926533999111
8,0.25,0.1,0.0625,0.6716300970060208,0.07300633689434165,0.005329925226730111,10.0,5.62469087700083
9,0.5,0.1,0.0625,0.7606968492673696,0.062323680742974515,0.003884241181352212,10.0,5.6644213479994505
10,0.25,0.1,0.0625,0.6716300970060208,0.07300633689434165,0.005329925226730111,10.0,5.656224416998157
11,0.25,0.1,0.0625,0.6716300970060208,0.07300633689434165,0.005329925226730111,10.0,5.664654489002714
12,0.5,0.1,0.0625,0.7606968492673696,0.062323680742974515,0.003884241181352212,10.0,5.711868099002459
13,0.25,0.1,0.0625,0.6716300970060208,0.07300633689434165,0.005329925226730111,10.0,5.598876369000209
14,0.25,0.1,0.0625,0.6716300970060208,0.07300633689434165,0.005329925226730111,10.0,5.596581058998709
15,0.25,0.1,0.0625,0.6716300970060208,0.07300633689434165,0.005329925226730111,10.0,5.65049022599851
16,1.0,0.1,0.0625,0.7621509600403789,0.06213403922491524,0.0038606388304033056,10.0,5.623207305998221
17,0.5,0.1,0.0625,0.7606968492673696,0.062323680742974515,0.003884241181352212,10.0,5.631230888997379
18,1.0,0.1,0.0625,0.7621509600403789,0.06213403922491524,0.0038606388304033056,10.0,5.65529980899737
19,0.5,0.1,0.0625,0.7606968492673696,0.062323680742974515,0.003884241181352212,10.0,5.639087569001276
20,0.25,0.1,0.0625,0.6716300970060208,0.07300633689434165,0.005329925226730111,10.0,5.816865052001958
21,0.5,0.1,0.0625,0.7606968492673696,0.062323680742974515,0.003884241181352212,10.0,5.780502908000926
22,0.5,0.1,0.0625,0.7606968492673696,0.062323680742974515,0.003884241181352212,10.0,5.769260699998995
23,0.5,0.1,0.0625,0.7606968492673696,0.062323680742974515,0.003884241181352212,10.0,5.841695044000517
24,0.25,0.1,0.0625,0.6716300970060208,0.07300633689434165,0.005329925226730111,10.0,5.765813796002476
25,0.25,0.1,0.0625,0.6716300970060208,0.07300633689434165,0.005329925226730111,10.0,5.807084480002231
26,0.25,0.1,0.0625,0.6716300970060208,0.07300633689434165,0.005329925226730111,10.0,5.84207579699796
27,0.5,0.1,0.0625,0.7606968492673696,0.062323680742974515,0.003884241181352212,10.0,5.799690911000653
28,0.25,0.1,0.0625,0.6716300970060208,0.07300633689434165,0.005329925226730111,10.0,5.623207068001648
29,0.5,0.1,0.0625,0.7606968492673696,0.062323680742974515,0.003884241181352212,10.0,5.758534528999007
