,Parameters,r2,RMSE,MSE,cv,time
0,"SVR(C=16, epsilon=0.9, gamma=1)",0.9474011808373731,4.440368968047374,2.107218300994791,10,63.660795420000795
1,"SVR(C=16, epsilon=0.9, gamma=1)",0.9474011808373731,4.440368968047374,2.107218300994791,10,63.834915903000365
2,"SVR(C=16, epsilon=0.2, gamma=0.5)",0.9213925871099174,6.636002906765212,2.5760440420856963,10,63.624456345
3,"SVR(C=16, epsilon=0.9, gamma=1)",0.9474011808373731,4.440368968047374,2.107218300994791,10,63.63293592900118
4,"SVR(C=16, epsilon=0.6, gamma=1)",0.9472456229566912,4.453501095291139,2.1103319869847823,10,63.572493943000154
5,"SVR(C=16, epsilon=0.3, gamma=0.5)",0.9211738070555919,6.654472221847203,2.5796263725290145,10,64.18449847600095
6,"SVR(C=16, epsilon=0.9, gamma=1)",0.9474011808373731,4.440368968047374,2.107218300994791,10,64.0385390850006
7,"SVR(C=16, epsilon=0.7, gamma=1)",0.9475005487000735,4.431980377182025,2.105226918216187,10,63.79636649299937
8,"SVR(C=16, epsilon=0.8, gamma=0.5)",0.9220020517977265,6.584552168327513,2.5660382242530044,10,63.478140048999194
9,"SVR(C=16, epsilon=0.9, gamma=0.5)",0.9220484423962851,6.580635894587378,2.5652750134415174,10,63.9587216660002
10,"SVR(C=16, epsilon=0.9, gamma=1)",0.9474011808373731,4.440368968047374,2.107218300994791,10,63.466036047999296
11,"SVR(C=16, gamma=0.5)",0.921646835521375,6.614539368716551,2.571874679823368,10,63.18231336400095
12,"SVR(C=16, epsilon=0.9, gamma=0.25)",0.8872273939484576,9.520213349445319,3.0854842973908196,10,63.240880047000246
13,"SVR(C=16, epsilon=0.9, gamma=1)",0.9474011808373731,4.440368968047374,2.107218300994791,10,63.15562138399946
14,"SVR(C=16, epsilon=0.8, gamma=1)",0.9476046426944659,4.4231928083769,2.1031387991230868,10,63.11050015000001
15,"SVR(C=16, epsilon=0.9, gamma=0.5)",0.9220484423962851,6.580635894587378,2.5652750134415174,10,63.2112937969996
16,"SVR(C=16, gamma=0.5)",0.921646835521375,6.614539368716551,2.571874679823368,10,64.0552225779993
17,"SVR(C=16, epsilon=0.9, gamma=1)",0.9474011808373731,4.440368968047374,2.107218300994791,10,66.02252221999879
18,"SVR(C=16, epsilon=0.2, gamma=0.5)",0.9213925871099174,6.636002906765212,2.5760440420856963,10,66.37159688999964
19,"SVR(C=16, gamma=0.5)",0.921646835521375,6.614539368716551,2.571874679823368,10,66.44268913000087
20,"SVR(C=16, gamma=0.5)",0.921646835521375,6.614539368716551,2.571874679823368,10,65.576937111
21,"SVR(C=16, epsilon=0.9, gamma=0.5)",0.9220484423962851,6.580635894587378,2.5652750134415174,10,65.88872110400007
22,"SVR(C=16, epsilon=0.9, gamma=1)",0.9474011808373731,4.440368968047374,2.107218300994791,10,65.73430883899891
23,"SVR(C=16, epsilon=0.9, gamma=1)",0.9474011808373731,4.440368968047374,2.107218300994791,10,63.63455941400025
24,"SVR(C=16, epsilon=0.9, gamma=0.5)",0.9220484423962851,6.580635894587378,2.5652750134415174,10,63.80828551800005
25,"SVR(C=16, gamma=0.5)",0.921646835521375,6.614539368716551,2.571874679823368,10,64.16090442899986
26,"SVR(C=16, epsilon=0.2, gamma=0.5)",0.9213925871099174,6.636002906765212,2.5760440420856963,10,66.65511859099934
27,"SVR(C=16, epsilon=0.9, gamma=1)",0.9474011808373731,4.440368968047374,2.107218300994791,10,66.75846302599894
28,"SVR(C=16, epsilon=0.9, gamma=1)",0.9474011808373731,4.440368968047374,2.107218300994791,10,68.2218761089971
29,"SVR(C=16, epsilon=0.9, gamma=1)",0.9474011808373731,4.440368968047374,2.107218300994791,10,74.67152209199776
