,C,epsilon,gamma,r2,RMSE,MSE,cv,time
0,16.0,0.9,0.5,0.9220484423962851,2.5652750134415174,6.580635894587378,10.0,65.05877103799867
1,16.0,0.7,1.0,0.9475005487000735,2.105226918216187,4.431980377182025,10.0,64.96475498699874
2,16.0,0.9,0.5,0.9220484423962851,2.5652750134415174,6.580635894587378,10.0,64.84451872299906
3,16.0,0.8,1.0,0.9476046426944659,2.1031387991230868,4.4231928083769,10.0,64.79166753400204
4,16.0,0.9,1.0,0.9474011808373731,2.107218300994791,4.440368968047374,10.0,64.81690970400086
5,16.0,0.9,1.0,0.9474011808373731,2.107218300994791,4.440368968047374,10.0,65.09171497100033
6,16.0,0.9,1.0,0.9474011808373731,2.107218300994791,4.440368968047374,10.0,64.83515532100137
7,16.0,0.9,1.0,0.9474011808373731,2.107218300994791,4.440368968047374,10.0,65.56542518099741
8,16.0,0.9,1.0,0.9474011808373731,2.107218300994791,4.440368968047374,10.0,64.92612797099719
9,16.0,0.3,0.5,0.9211738070555919,2.5796263725290145,6.654472221847203,10.0,65.76534742200238
10,16.0,0.9,0.5,0.9220484423962851,2.5652750134415174,6.580635894587378,10.0,64.94863766500202
11,16.0,0.9,1.0,0.9474011808373731,2.107218300994791,4.440368968047374,10.0,65.31173788599699
12,16.0,0.9,1.0,0.9474011808373731,2.107218300994791,4.440368968047374,10.0,64.59376224100197
13,16.0,0.9,1.0,0.9474011808373731,2.107218300994791,4.440368968047374,10.0,64.54048803300248
14,16.0,0.9,1.0,0.9474011808373731,2.107218300994791,4.440368968047374,10.0,64.76305374199728
15,16.0,0.2,0.5,0.9213925871099174,2.5760440420856963,6.636002906765212,10.0,65.42147052400105
16,16.0,0.9,1.0,0.9474011808373731,2.107218300994791,4.440368968047374,10.0,66.12771642200096
17,16.0,0.9,0.5,0.9220484423962851,2.5652750134415174,6.580635894587378,10.0,66.0414996110012
18,16.0,0.9,1.0,0.9474011808373731,2.107218300994791,4.440368968047374,10.0,65.60905861300125
19,16.0,0.2,0.5,0.9213925871099174,2.5760440420856963,6.636002906765212,10.0,65.47468738600219
20,16.0,0.9,1.0,0.9474011808373731,2.107218300994791,4.440368968047374,10.0,65.14340079999965
21,16.0,0.1,0.5,0.921646835521375,2.571874679823368,6.614539368716551,10.0,66.0287622470023
22,16.0,0.1,0.5,0.921646835521375,2.571874679823368,6.614539368716551,10.0,65.47543540299739
23,16.0,0.7,0.5,0.9215268835121946,2.573842587279108,6.624665664091612,10.0,65.19440604099873
24,16.0,0.5,1.0,0.9471505897580433,2.112231937013806,4.461523755741095,10.0,65.6933438140004
25,16.0,0.6,0.5,0.9209990186072587,2.582484808295436,6.669227785076715,10.0,66.21815472700109
26,16.0,0.4,0.5,0.9209310605255735,2.5835953197375554,6.674964776169801,10.0,65.59213383199676
27,16.0,0.1,0.5,0.921646835521375,2.571874679823368,6.614539368716551,10.0,65.2832637749998
28,16.0,0.1,0.5,0.921646835521375,2.571874679823368,6.614539368716551,10.0,64.69567934600127
29,16.0,0.9,1.0,0.9474011808373731,2.107218300994791,4.440368968047374,10.0,64.91124757199941
